Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,SQL,DOCKER,GO,LINUX,GIT,AWS,KUBERNETES,DJANGO,FLASK,MATH,DATA_SCIENCE_LIB
Python-разработчик (банковский проект),https://hh.ru/vacancy/118562732,Volna.tech,от 130000 до 150000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,1,0,1,0,0,0,0
Менеджер проектов Big Data и Data Science,https://hh.ru/vacancy/119153845,Rubius,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,https://hh.ru/vacancy/119111801,Advantage Solutions,не указана,От 1 года до 3 лет,Да,1,1,1,0,0,1,0,0,0,0,0,0
Аналитик маркетплейсов (Wildberries и Ozon),https://hh.ru/vacancy/119170798,SKL Group,от 150000 RUR,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Аналитик данных/Дата-аналитик/Data Scientist,https://hh.ru/vacancy/118903039,Крупная компания,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,1,0
Директор по информационным технологиям (CIO),https://hh.ru/vacancy/115948874,StaffRecruitment,от 800000 RUR,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Владелец продукта / Product owner,https://hh.ru/vacancy/118497533,X5 Tech,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Software Engineer Blockchain,https://hh.ru/vacancy/118294988,Veretin Solutions Global,от 8000 до 9000 USD,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Backend разработчик (apache superset),https://hh.ru/vacancy/118809231,LIAN,до 250000 RUR,От 3 до 6 лет,Да,1,1,1,0,0,0,0,0,0,1,0,0
Reporting Engineer,https://hh.ru/vacancy/119172348,Нова Энерджис,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Продуктовый аналитик (гибридный формат работы),https://hh.ru/vacancy/118983388,LIAN,до 170000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
"Java разработчик, Поисковая платформа",https://hh.ru/vacancy/117835206,Ozon,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,1,0,0,0,0
Руководитель IT/ Product разработки,https://hh.ru/vacancy/119120121,JuicyScore,не указана,Более 6 лет,Нет,0,1,1,1,1,0,0,1,0,0,0,0
"Data Scientist (NLP, ИИ-агенты) в блок ""Стратегия и Развитие"")",https://hh.ru/vacancy/118264841,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Бизнес-аналитик,https://hh.ru/vacancy/119085751,Ростелеком,от 135000 до 135000 RUR,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Инженер DevOps,https://hh.ru/vacancy/118467288,GlowByte,не указана,От 1 года до 3 лет,Нет,1,1,1,0,1,0,0,1,0,0,0,0
Middle Analyst / Аналитик,https://hh.ru/vacancy/118961722,Okkam,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,1,0
Quantitative Researcher,https://hh.ru/vacancy/118056281,OpenHiring,от 300000 до 600000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Data Science разработчик финансовых моделей,https://hh.ru/vacancy/117964888,Альфа-Банк,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,1,0,0,0,0,1,0
Middle/Middle+ Python разработчик (IDP GigaSearch),https://hh.ru/vacancy/119016217,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,1,0,0,0
Data Science,https://hh.ru/vacancy/117956557,Альфа-Банк,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
AI/Prompt engineer,https://hh.ru/vacancy/118263295,LeadsUp,от 87000 до 130000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0
Аналитик данных (Data Analyst),https://hh.ru/vacancy/118704325,Национальный исследовательский университет Высшая школа экономики,до 100000 RUR,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Middle java разработчик (г. Домодедово),https://hh.ru/vacancy/119088215,Российские железные дороги,не указана,От 1 года до 3 лет,Нет,0,1,1,0,0,1,0,1,0,0,0,0
IOS Developer,https://hh.ru/vacancy/117683894,Data-Driven Lab,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
HR ассистент,https://hh.ru/vacancy/119058699,LIAN,от 40000 RUR,Нет опыта,Да,0,0,0,0,0,0,0,0,0,0,0,0
Java разработчик (middle+/senior),https://hh.ru/vacancy/118255320,Альфа-Банк,не указана,От 3 до 6 лет,Да,0,0,0,0,1,0,0,0,0,0,0,0
Product Owner ML/AI,https://hh.ru/vacancy/118916132,RDP.RU,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Портфельный риск-менеджер,https://hh.ru/vacancy/119152905,Альфа-Банк,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Data scientist/Data Аналитик,https://hh.ru/vacancy/118975236,"Hi, Rockits!",от 220000 RUR,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Аналитик данных (Data Scientist),https://hh.ru/vacancy/107859588,"Глобус, Сеть гипермаркетов",не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Outreach B2B Lead Generation US EU,https://hh.ru/vacancy/118918852,Insquad,от 1500 до 3000 USD,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик PHP Senior,https://hh.ru/vacancy/118757925,LIAN,до 300000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Руководитель направления по внедрению AI,https://hh.ru/vacancy/119133419,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик,https://hh.ru/vacancy/118332497,CODex,от 100000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0
Project manager B2U,https://hh.ru/vacancy/118974511,Карпов Курсес,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель проектов IT (Project Manager),https://hh.ru/vacancy/117623329,Гудфокаст,не указана,От 1 года до 3 лет,Да,0,1,1,0,0,0,0,1,0,0,0,0
Разработчик Инновационных Продуктов | Rocker Sciece IT,https://hh.ru/vacancy/118268087,Gybernaty,не указана,От 1 года до 3 лет,Да,1,0,1,1,0,0,1,1,1,0,0,0
Разработчик 1С (Розница),https://hh.ru/vacancy/119072425,LIAN,от 300000 до 350000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Chief Data Officer (CDO),https://hh.ru/vacancy/118833845,Rubbles,не указана,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Руководитель проектов позиционирования лояльности и нефинансовых сервисов,https://hh.ru/vacancy/118964760,Альфа-Банк,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик дашбордов в BI-системе,https://hh.ru/vacancy/118157030,ФГАНУ ФИЦТО,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Руководитель IT проектов,https://hh.ru/vacancy/118232781,Эмбедика,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Product manager,https://hh.ru/vacancy/118081508,iConText Group,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Middle+ backend developer Kotlin,https://hh.ru/vacancy/118915480,JSA Group,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Technical Support / Pre-Sales Expert ﻿(M3 Mobile),https://hh.ru/vacancy/119053917,Торговый Отдел Посольства Республики Корея,от 3000 USD,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,https://hh.ru/vacancy/118894383,RDP.RU,не указана,От 3 до 6 лет,Да,1,1,1,0,0,1,0,1,0,0,0,1
Маркетинговый аналитик,https://hh.ru/vacancy/119004423,Youstars,от 150000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Специалист по кадровому делопроизводству,https://hh.ru/vacancy/118646409,JSA Group,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Лид системных аналитиков/Lead System Analyst,https://hh.ru/vacancy/117164126,ВанТуВорк,не указана,От 3 до 6 лет,Да,0,1,1,0,0,0,0,1,0,0,0,0
Data Analyst (проект Честный знак),https://hh.ru/vacancy/119011076,ARK,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Менеджер по анализу больших данных (Big Data),https://hh.ru/vacancy/119123973,T2,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
"Стажёр Quant Developer (Python, AI) в международный хедж-фонд",https://hh.ru/vacancy/118325627,Ahead.Market,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Технический ассистент,https://hh.ru/vacancy/118988956,Карпов Курсес,до 40000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0
Руководитель группы продаж,https://hh.ru/vacancy/118156947,Карпов Курсес,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Исследователь-экспериментатор (Лаборатория нейронаук и поведения человека),https://hh.ru/vacancy/118455475,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик E-com,https://hh.ru/vacancy/119152738,Комус,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Лид команды персонализации CRM,https://hh.ru/vacancy/118621308,Альфа-Банк,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
SEO-специалист,https://hh.ru/vacancy/118871749,Отус,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по подбору / Рекрутер,https://hh.ru/vacancy/118256370,X5 Digital,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Математик-разработчик (Data Scientist) в группу моделирования и оптимизации складских процессов,https://hh.ru/vacancy/118503905,Ozon,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Marketing Data Analyst / Product Analyst,https://hh.ru/vacancy/118664987,Издаем Игры,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,1,0,0,0,0,0,0
Стажер департамента по работе с индустриальными данными (Media Research),https://hh.ru/vacancy/119165587,"Группа компаний «Group4Media», Управляющая компания",не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Старший Java разработчик, Оценка качества поиска",https://hh.ru/vacancy/118660499,Ozon,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,1,0,0,0,0
"NLP Engineer / NLP Data Scientist (LLM, GigaChat)",https://hh.ru/vacancy/119021791,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,1,0,1,0,0,0,1
"Data Scientist, Anti-Fraud, Ozon Bank",https://hh.ru/vacancy/117537901,Ozon,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Scrum мастер,https://hh.ru/vacancy/118908024,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
ML инженер (классический ML),https://hh.ru/vacancy/118522684,Газпромбанк,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель разработки / Head of Development,https://hh.ru/vacancy/118178175,Марс,не указана,Более 6 лет,Нет,1,1,1,1,0,0,1,1,1,1,0,1
Менеджер оценки рисков контрагентов / Риск-менеджер / Банк,https://hh.ru/vacancy/119165998,IDF Eurasia,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Стажер-аналитик по ценообразованию,https://hh.ru/vacancy/118614514,Б1 (B1),не указана,Нет опыта,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Senior Data Scientist (RL),https://hh.ru/vacancy/119038333,Ecom.tech,не указана,От 3 до 6 лет,Да,1,1,1,0,0,1,0,0,0,0,0,1
Data analyst ( Мiddle/Middle+ ),https://hh.ru/vacancy/119125140,РСХБ-Интех,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,1,0,0,0,0
Стажер Аналитик (Центр методологии и популяризации Data science),https://hh.ru/vacancy/118988572,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Аналитик данных (рекомендательные системы, персонализация)",https://hh.ru/vacancy/118463629,Ozon,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Chief Technical Officer (CTO),https://hh.ru/vacancy/118783133,IDF Lab,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик АСУ ОГР,https://hh.ru/vacancy/118909598,JSA Group,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Аналитик DWH,https://hh.ru/vacancy/118494303,LIAN,от 260000 до 350000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
"Стажер ML-разработчик (Тонкая настройка, Генеративные модели)",https://hh.ru/vacancy/118563495,Группа компаний Астра,не указана,От 1 года до 3 лет,Нет,1,1,1,0,1,1,1,0,0,1,0,1
Бизнес-аналитик (AI-агенты),https://hh.ru/vacancy/118992061,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Старший Data Scientist, Отбор кандидатов",https://hh.ru/vacancy/119040840,Ozon,не указана,От 3 до 6 лет,Да,1,0,0,1,0,0,0,0,0,0,0,1
AI Engineer,https://hh.ru/vacancy/117837394,Интернет-энциклопедия РУВИКИ,не указана,От 3 до 6 лет,Нет,1,0,1,0,1,1,0,0,0,0,0,1
Методист образовательных программ,https://hh.ru/vacancy/118664728,Карпов Курсес,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
DevRel (Газпромбанк.Тех),https://hh.ru/vacancy/119041521,Газпромбанк,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Младший инженер технической поддержки,https://hh.ru/vacancy/119138320,НТехЛаб,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам B2C,https://hh.ru/vacancy/118003372,Карпов Курсес,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Системный администратор,https://hh.ru/vacancy/119066051,Петрович-Тех,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Бизнес-аналитик (аналитическое сопровождение взыскания),https://hh.ru/vacancy/119175244,Газпромбанк,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
"Data Scientist/Разработчик машинного обучения (ML, NLP, LLM)",https://hh.ru/vacancy/117371174,B2B-Center,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Руководитель по развитию кросс-продаж с применением AI-технологий,https://hh.ru/vacancy/119129303,СБЕР,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам (B2B),https://hh.ru/vacancy/118332622,CODex,от 125000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Product Owner / Product Manager, iOS (HealthTech)",https://hh.ru/vacancy/118917251,Дартс рекрутинг сервисез,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик ML-моделей,https://hh.ru/vacancy/117159140,Т1,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Системный аналитик.,https://hh.ru/vacancy/119069724,Т1,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist / Разработчик Машинного Обучения / Computer Vision,https://hh.ru/vacancy/118575237,Buildateam,от 4000 до 6000 USD,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
"Аналитик данных, Реклама",https://hh.ru/vacancy/114920771,Ozon,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist в команду персонализации,https://hh.ru/vacancy/112316977,Газпромбанк,не указана,От 1 года до 3 лет,Нет,1,1,0,0,1,0,0,0,0,0,0,1
Data Scientist,https://hh.ru/vacancy/117483603,YADRO,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,1,1
"Senior Data Scientist (блок ""В2С"")",https://hh.ru/vacancy/118028831,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
DevOps-инженер,https://hh.ru/vacancy/118973094,"Hi, Rockits!",от 350000 RUR,От 3 до 6 лет,Да,1,0,1,0,1,0,1,0,0,0,0,0
"Middle Data Scientist в команду ""Разработка AI-решений БСР""",https://hh.ru/vacancy/118264773,СБЕР,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,1,0,1
Аналитик данных / Data Analyst,https://hh.ru/vacancy/118645219,РЕВТЕХ,от 115000 до 276000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Senior QA / Auto,https://hh.ru/vacancy/119130190,АБК,не указана,Более 6 лет,Нет,0,1,1,0,0,0,0,0,0,0,0,0
New Business Director (digital),https://hh.ru/vacancy/119062144,E-PROMO,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Project Manager,https://hh.ru/vacancy/117804171,Криптонит,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,0,0,0,0
Руководитель направления CRM-маркетинга,https://hh.ru/vacancy/118973184,Отус,от 170000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Исследователь/Research Scientist,https://hh.ru/vacancy/117408891,Криптонит,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
ML-cпециалист (Junior),https://hh.ru/vacancy/118031276,СОГАЗ,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,1
Интернет-маркетолог,https://hh.ru/vacancy/118332555,CODex,от 75000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Старший аналитик-разработчик, Аналитика поиска",https://hh.ru/vacancy/98275757,Ozon,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Chess Master / Math Modeller,https://hh.ru/vacancy/118516642,Hunt For You,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Data Science,https://hh.ru/vacancy/118348520,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,1
Старший менеджер продукта (Поиск и ранжирование),https://hh.ru/vacancy/118478956,Lamoda Tech,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик Junior/Middle,https://hh.ru/vacancy/115383081,metaLead,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Data Scientist в команду рисков,https://hh.ru/vacancy/118914978,Газпромбанк,не указана,От 3 до 6 лет,Да,1,1,0,0,1,0,0,0,0,0,0,1
MLOps engineer,https://hh.ru/vacancy/119166582,LIAN,от 390000 до 480000 RUR,Более 6 лет,Да,1,1,1,0,0,0,0,1,0,0,0,0
Аналитик-исследователь AI-технологий (Центр методологии и популяризации Data science),https://hh.ru/vacancy/118988621,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Менеджер по обработке данных (SPSS, R, Python)",https://hh.ru/vacancy/112709038,ORO,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,https://hh.ru/vacancy/118610881,АБСОЛЮТ БАНК,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,1,0,0,0,0
Продуктовый аналитик в Путешествия,https://hh.ru/vacancy/118599563,Яндекс,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Исследователь-психометрист (Лаборатория нейронаук и поведения человека),https://hh.ru/vacancy/118550645,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
ИТ Бизнес-партнер / IT Business Partner (проекты по локализации),https://hh.ru/vacancy/106785080,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist [Платформа жизненных сценариев],https://hh.ru/vacancy/119043068,МТС,не указана,Более 6 лет,Нет,1,0,0,0,0,1,0,0,0,0,0,1
Data Scientist (NLP),https://hh.ru/vacancy/118242205,"Алабуга, ОЭЗ ППТ",от 277500 RUR,Нет опыта,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Media Data Analyst (media research),https://hh.ru/vacancy/118153038,"Группа компаний «Group4Media», Управляющая компания",не указана,Нет опыта,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Менеджер по работе с корпоративными клиентами,https://hh.ru/vacancy/118908848,Карпов Курсес,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по оптимизации бизнес-процессов с фокусом на внедрение ИИ / Бизнес-аналитик,https://hh.ru/vacancy/118657302,Selecty,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
"Аналитик в AI сервис поиска (Search, LLM, Embeddings, Data Science, SaaS)",https://hh.ru/vacancy/118096446,Any,от 150000 до 200000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
CX Researcher,https://hh.ru/vacancy/119180215,Лаборатория Касперского,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
DevOps инженер (мидл),https://hh.ru/vacancy/118917343,Пиклема,не указана,От 3 до 6 лет,Да,1,1,1,0,1,0,1,1,1,0,0,0
