Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,PYTHON,JAVA,C_SHARP,GO,NODEJS,SPRING,DJANGO,FLASK,SQL,NOSQL
QA Engineer (Senior/Middle++),https://hh.ru/vacancy/119030705,Эйайэксперт,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
QA Engineer Manual | Ручной тестировщик (backend),https://hh.ru/vacancy/119016263,Перфоманс Лаб,до 120000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Middle разработчик React (RuBackup),https://hh.ru/vacancy/119172098,Группа компаний Астра,не указана,От 1 года до 3 лет,Да,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
Backend-разработчик,https://hh.ru/vacancy/119165168,НОРСИ-ТРАНС,не указана,От 1 года до 3 лет,Нет,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1
QA specialist,https://hh.ru/vacancy/118766744,РЖД - Цифровые пассажирские решения,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Старший инженер по тестированию,https://hh.ru/vacancy/119083520,Эр-1,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
QA engineer (manual),https://hh.ru/vacancy/117905919,Медиалогия,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
React/JS-разработчик_middle,https://hh.ru/vacancy/119062621,Amex Development,не указана,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Blockchain Developer Rust | Solidity,https://hh.ru/vacancy/119149401,ArtVolkov.ru,от 1000000 до 1300000 RUR,От 3 до 6 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Тестировщик ПО,https://hh.ru/vacancy/118816442,Сфера,от 90000 до 140000 RUR,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Senior frontend-разработчик,https://hh.ru/vacancy/119164868,Айкон Про,от 370000 RUR,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle/Senior frontend-разработчик (JavaScript и TypeScript),https://hh.ru/vacancy/119101494,ALFA system,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Junior Frontend-разработчик (React + Redux),https://hh.ru/vacancy/118870757,amoCRM,от 70000 RUR,Нет опыта,Нет,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Java разработчик,https://hh.ru/vacancy/119167080,НТЦ ЕЭС Информационные Комплексы,до 350000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Тестировщик,https://hh.ru/vacancy/118676373,Цифролаб,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Java-разработчик (финтех),https://hh.ru/vacancy/119021230,Axenix (ранее Accenture),не указана,От 1 года до 3 лет,Нет,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Middle Backend developer (Java),https://hh.ru/vacancy/119179031,Minervasoft,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
Fullstack QA (гибридный формат работы),https://hh.ru/vacancy/119124248,LIAN,до 260000 RUR,От 3 до 6 лет,Нет,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Тестировщик веб-приложения (Middle),https://hh.ru/vacancy/118335962,МКО Системы,не указана,От 3 до 6 лет,Да,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Frontend-разработчик,https://hh.ru/vacancy/119088518,Азиатско-Тихоокеанский Банк,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик Python,https://hh.ru/vacancy/118286720,Angara Security,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Junior Java-разработчик (система Антифрод),https://hh.ru/vacancy/119139822,Банк ВТБ (ПАО),не указана,Нет опыта,Нет,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Manual QA Engineer,https://hh.ru/vacancy/119081518,Апартмент системс,до 120000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Java-программист,https://hh.ru/vacancy/118645903,Гео Техно Сот,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
QA Engineer (Тестировщик),https://hh.ru/vacancy/118663501,На_Полке,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Системный аналитик в команду контактного центра,https://hh.ru/vacancy/118824829,Туту,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
React Developer,https://hh.ru/vacancy/118933070,AbeloHost B.V.,от 1200 до 1700 EUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Frontend developer,https://hh.ru/vacancy/119041226,Передовые Системы Обучения и Контроля,от 180000 до 250000 RUR,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend разработчик (Junior),https://hh.ru/vacancy/119161743,Самоделкина Вероника Сергеевна,от 40000 до 100000 RUR,Нет опыта,Да,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Kotlin Mobile Developer,https://hh.ru/vacancy/119071606,Эксперт Инвест,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик (React),https://hh.ru/vacancy/119168117,Голдовский Игорь Витальевич,от 120000 до 200000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python разработчик,https://hh.ru/vacancy/119121379,Эйчар Рокет,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Backend разработчик/Python developer,https://hh.ru/vacancy/118466226,Нильсен,не указана,От 1 года до 3 лет,Нет,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
Frontend VibeCoder (AI-Powered Developer),https://hh.ru/vacancy/118990435,Social Media Holding,от 150000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик (Python FastAPI),https://hh.ru/vacancy/118951497,Алгоритм С,от 111600 до 140040 RUR,От 1 года до 3 лет,Нет,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Middle IT Recruiter / ИТ рекрутер,https://hh.ru/vacancy/119189420,DDX Fitness,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA Engineer manual (СКАН),https://hh.ru/vacancy/118554235,Интерфакс,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Middle Frontend Developer (iGaming),https://hh.ru/vacancy/118706290,Койпиш Артем,от 2000 до 3000 USD,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA engineer/специалист по тестированию,https://hh.ru/vacancy/118131685,CoMagic.dev,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Frontend-разработчик (React),https://hh.ru/vacancy/117573962,Датаюниверс,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA manual (backend/frontend/mobile),https://hh.ru/vacancy/118466923,ФАЙВДЖЕН,от 120000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Инженер по тестированию (Junior+ /middle),https://hh.ru/vacancy/118831477,Диджитал медикэл оперейшнс,до 140000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Middle QA Engineer (г. Москва),https://hh.ru/vacancy/117890029,Drivee,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
QA Engineer,https://hh.ru/vacancy/118662399,Rambler&Co,не указана,От 1 года до 3 лет,Нет,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
Frontend разработчик (JS),https://hh.ru/vacancy/119112087,РТУ МИРЭА,от 100000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
QA-инженер (Middle),https://hh.ru/vacancy/116333776,Электронная торговая площадка Газпромбанка,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Java-разработчик,https://hh.ru/vacancy/118963055,Финансовые Платформы,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Middle QA-инженер (Manual),https://hh.ru/vacancy/118310182,ITD Group (International IT-Distribution Group),не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
QA / Тестировщик (Middle и выше),https://hh.ru/vacancy/118824497,Ритейл Дата-Центр Технологии,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Frontend-разработчик,https://hh.ru/vacancy/119116932,НИЦ Прикладная Логистика,от 120000 RUR,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Manual QA Engineer,https://hh.ru/vacancy/115557740,Тривио,от 120000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Frontend-разработчик,https://hh.ru/vacancy/118228515,RecruitTech,до 250000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Frontend-разработчик,https://hh.ru/vacancy/118915975,iBrush,не указана,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Manual QA-тестировщик (Middle),https://hh.ru/vacancy/118308486,Playerok,от 100000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Middle Frontend Разработчик (ReactJS + Redux),https://hh.ru/vacancy/118808092,Minervasoft,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Backend Developer (младший разработчик),https://hh.ru/vacancy/118916292,ПроКонтекст,от 60000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
QA Engineer,https://hh.ru/vacancy/118782946,Софтмус,от 180000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Backend Developer (Python),https://hh.ru/vacancy/119066024,Betting Software,от 1500 до 2000 USD,От 1 года до 3 лет,Да,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
Java-разработчик,https://hh.ru/vacancy/119126523,Кадровое агентство HireWay,от 90000 RUR,От 1 года до 3 лет,Да,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Frontend-разработчик (senior),https://hh.ru/vacancy/118989695,MerlionTech,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
.net разработчик,https://hh.ru/vacancy/119110231,ЛОКО-БАНК,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Middle Frontend разработчик (Javascript, React)",https://hh.ru/vacancy/118909764,БиАй Продакшн,от 140000 до 250000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA-инженер,https://hh.ru/vacancy/118114515,АГ-Логистик,до 140000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Тестировщик ПО (ручное тестирование),https://hh.ru/vacancy/118427443,Инженерный Центр Информационно-аналитических систем,до 200000 RUR,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Backend VibeCoder (AI-Powered Developer),https://hh.ru/vacancy/118990049,Social Media Holding,от 150000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
"Javascript разработчик (React, Typescript)",https://hh.ru/vacancy/118340280,Эд-АйТи,до 220000 RUR,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Младший backend-разработчик,https://hh.ru/vacancy/118348961,SW Development,от 80000 до 120000 RUR,Нет опыта,Да,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0
Backend developer,https://hh.ru/vacancy/118971124,Октопустех,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Backend-разработчик (почасовая),https://hh.ru/vacancy/119123090,AIR,от 600 до 800 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Middle + QA engineer,https://hh.ru/vacancy/116750753,3Logic Group,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
QA-инженер,https://hh.ru/vacancy/118431871,Хэндсапп,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Java developer (middle),https://hh.ru/vacancy/118965013,JSA Group,не указана,От 1 года до 3 лет,Да,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"JAVA разработчик (junior +, middle)",https://hh.ru/vacancy/118835191,Випсервис,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Java разработчик (Пульс),https://hh.ru/vacancy/119117557,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
Frontend-разработчик,https://hh.ru/vacancy/118663323,Rambler&Co,не указана,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Начинающий разработчик C/C++,https://hh.ru/vacancy/118349674,Алгоритм С,до 111600 RUR,Нет опыта,Нет,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Frontend-разработчик (JS, React, Next) Middle",https://hh.ru/vacancy/119004999,Максис,до 170000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик (Python),https://hh.ru/vacancy/119068461,Новые Телеком Решения (НТР),не указана,От 3 до 6 лет,Нет,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
Разработчик Front-end,https://hh.ru/vacancy/118342208,"Технологии защиты, ООО (проект Pryaniky.com)",не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Middle Python developer,https://hh.ru/vacancy/119041982,"МАГНИТ, Розничная сеть",не указана,От 1 года до 3 лет,Да,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
Backend-разработчик C#,https://hh.ru/vacancy/118979793,Kwol,от 250000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Middle Manual QA Specialist,https://hh.ru/vacancy/118183867,DatsTeam,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Front-end Developer,https://hh.ru/vacancy/118072584,Звук,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Backend разработчик (Java, Python, PHP, Go)",https://hh.ru/vacancy/118569737,Zamedia,не указана,От 3 до 6 лет,Да,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0
Разработчик JavaScript,https://hh.ru/vacancy/118736664,Data World,до 240000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C# разработчик,https://hh.ru/vacancy/119167061,Диджитал Лодж,от 100000 RUR,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"Backend Developer (.NET, C#)",https://hh.ru/vacancy/119088885,Вовнянко Олеся Викторовна,от 3000 до 5000 USD,От 3 до 6 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Frontend-разработчик (Vue.js),https://hh.ru/vacancy/119042360,Tashir Estate,от 150000 до 170000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Тестировщик,https://hh.ru/vacancy/118081181,ИРИ,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Python разработчик,https://hh.ru/vacancy/119061082,IT-People.ru,не указана,От 3 до 6 лет,Да,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
Middle\Senior QA - Gamedev,https://hh.ru/vacancy/119161724,Ducky Ltd Gladstonos,от 1500 до 2500 USD,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend разработчик,https://hh.ru/vacancy/118663926,Эдтех Инвест,от 140000 до 180000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Intern Python Developer [Технологические платформы],https://hh.ru/vacancy/119163046,МТС,не указана,Нет опыта,Да,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Backend-разработчик на Java,https://hh.ru/vacancy/118330562,СтандартПроект,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Frontend developer,https://hh.ru/vacancy/118668100,Project Brain,до 250000 RUR,Нет опыта,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по ручному функциональному тестированию,https://hh.ru/vacancy/118468579,"Ренессанс cтрахование, Группа",не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Frontend-разработчик,https://hh.ru/vacancy/118953522,Кадровое агентство Юнити,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик (React),https://hh.ru/vacancy/118653860,Digex Co,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java-программист (Middle),https://hh.ru/vacancy/118465919,1221Системс,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"Backend Developer (Java/Kotlin, Spring Boot, Oracle Database)",https://hh.ru/vacancy/118984947,Форлинк,не указана,От 3 до 6 лет,Да,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0
Frontend-разработчик,https://hh.ru/vacancy/118288920,HAAS PLATFORM,до 3000 USD,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Разработчик Java, Факторы ранжирования",https://hh.ru/vacancy/119068156,Ozon,не указана,От 1 года до 3 лет,Да,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1
Frontend-разработчик (Видеоплатформы и сервисы),https://hh.ru/vacancy/117517626,RUTUBE,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик (Vue),https://hh.ru/vacancy/119105579,Ассоциация IPChain,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Java-разработчик Middle,https://hh.ru/vacancy/119038988,Bell Integrator Регионы,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Middle QA enginer (Manual),https://hh.ru/vacancy/118892405,СберСпасибо,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Backend Developer,https://hh.ru/vacancy/117946709,DIDENOK TEAM,не указана,От 1 года до 3 лет,Да,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
Front-разработчик (офис/гибрид Москва),https://hh.ru/vacancy/119155202,Снэп АйТи,от 145000 до 160000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель проектов,https://hh.ru/vacancy/118154053,HR Prime,от 450000 до 570000 RUR,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Frontend-разработчик (React),https://hh.ru/vacancy/118665991,Oracul Analytics Ltd,от 350000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Тестировщик,https://hh.ru/vacancy/115522479,Форк ИТ,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Frontend-разработчик,https://hh.ru/vacancy/118247232,Найдем,от 130000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Стажёр QA,https://hh.ru/vacancy/118866735,ФИНАМ,от 30000 до 60000 RUR,Нет опыта,Да,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Разработчик Java (remote, Back-end, решения видеонаблюдения/CCTV)",https://hh.ru/vacancy/119178087,Netris,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Java-разработчик в команду Транзакционного бизнеса (Домен B2B),https://hh.ru/vacancy/119028125,ДОМ.РФ,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Senior QA engineer (Mobile),https://hh.ru/vacancy/119084648,Звук,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Frontend-разработчик (React) в Predicta,https://hh.ru/vacancy/118209729,Lofty.,не указана,От 3 до 6 лет,Да,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
